"Locus Tag"	"Gene Name"	"Gene Product"	"Protein Length"	"Exp. Ptn Cnt"	"Essentiality"	"Primary Function"	"Secondary Function"	"Tertiary Function"	"Localization"	"Sim. Initial Ptn Cnt"	"Review Flag"	"Mismatch Solved"
"JCVISYN3A_0874"	"rsmG"	"16S rRNA (guanine(527)-N(7))-methyltransferase"	231	131	"Nonessential"	"Genetic Information Processing"	"Translation"	"Ribosome biogenesis"	"cytoplasm"	131	"AI"	
"JCVISYN3A_0875"	"pgsA"	"CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase"	198	36	"Essential"	"Metabolism"	"Biosynthesis"	"Lipid metabolism"	"trans-membrane"	36		
"JCVISYN3A_0876"		"Uncharacterized amino acid permease"	526	46	"Nonessential"	"Metabolism"	"Membrane Transport"	"Amino acid and peptides"	"trans-membrane"	46		
"JCVISYN3A_0877"	"fmnP; ribU"	"Riboflavin ECF transporter S component "	226	9	"Essential"	"Metabolism"	"Membrane Transport"	"Cofactor"	"trans-membrane"	10		
"JCVISYN3A_0878"	"-/gabP"	"Uncharacterized amino acid permease/amino acid transporter"	512	7	"Quasiessential"	"Metabolism"	"Membrane Transport"	"Amino acid and peptides"	"trans-membrane"	10		
"JCVISYN3A_0879"	"corA"	"magnesium-importing ATPase "	885	80	"Essential"	"Metabolism"	"Membrane Transport"	"Inorganic"	"trans-membrane"	80		
"JCVISYN3A_0881"		"Uncharacterized MFS transporter"	475	33	"Essential"	"Metabolism"	"Membrane Transport"	"Other Transport"	"trans-membrane"	33	"AI"	
"JCVISYN3A_0885"	"mnmG; gidA"	"tRNA uridine(34) 5-carboxymethylaminomethyl synthesis enzyme"	629	141	"Quasiessential"	"Genetic Information Processing"	"Translation"	"tRNA biogenesis"	"cytoplasm"	141	"AI"	
"JCVISYN3A_0886"	"gltP"	"Proton-glutamate symporter"	525	44	"Quasiessential"	"Metabolism"	"Membrane Transport"	"Amino acid and peptides"	"trans-membrane"	44		
"JCVISYN3A_0887"	"cdr"	"Coenzyme A Disulfide Reductase"	447	127	"Quasiessential"	"Metabolism"	"Other Enzymes"	"Other enzymes"	"cytoplasm"	127	"AI"	
"JCVISYN3A_0906"		"Uncharacterized protein"	238	75	"Essential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"cytoplasm"	75	"AI"	
"JCVISYN3A_0907"		"Low specificity hydrolase "	264	30	"Quasiessential"	"Unclear"	"Other Enzymes"	"Other enzymes"	"cytoplasm"	30	"PRIMARY_MISMATCH; AI"	
"JCVISYN3A_0908"	"yidC"	"Membrane protein insertase"	396	120	"Essential"	"Genetic Information Processing"	"Folding, Sorting and Degradation"	"Protein export"	"trans-membrane"	120	"AI"	
"JCVISYN3A_0909"	"rnpA"	"Ribonuclease P protein component"	109	6	"Essential"	"Genetic Information Processing"	"Folding, Sorting and Degradation"	"RNA degradation"	"cytoplasm"	10	"AI"	
"JCVISYN3A_0910"	"rpmH"	"50S ribosomal protein L34"	44	"-"	"Quasiessential"	"Genetic Information Processing"	"Translation"	"Ribosome"	"cytoplasm"	10		
